id	name	population	location_type	admin_area_id	sub_admin_area_id	admin_area	sub_admin_area
13699	Viola	6331.0	Locality	13115.0	13699	New York	Viola
57282	Sweetwater		Locality	5237.0	5282	New Jersey	Atlantic County
69252	Cortland		Locality	2876.0	2913	West Virginia	Tucker County
7849	Santa Rosa	2807.0	Locality	6614.0	7826	Texas	Cameron County
9919	Oakdale	7722.0	Locality	9345.0	9917	Louisiana	Allen Parish
31249	Covington	2804.0	Locality	29828.0	31247	Ohio	Miami County
19909	Kinsey	3220.0	Locality	19743.0	19909	Alabama	Kinsey
30169	Mulberry	3761.0	Locality	29828.0	30169	Ohio	Mulberry
23419	Byron	5170.0	Locality	23298.0	23419	Georgia	Byron
13856	Cranberry Lake	157.0	Locality	13115.0	13856	New York	Cranberry Lake
45199	Lake Butler		Locality	3590.0	45199	Florida	Lake Butler
51702	Roxbury		Locality	28610.0	51702	Maine	Roxbury
30979	South Salem	200.0	Locality	29828.0	30979	Ohio	South Salem
14216	Hurley		Locality	13115.0	14216	New York	Hurley
2539	Baldwin	5894.0	Locality	1860.0	2537	Wisconsin	St. Croix County
16376	Addison	197.0	Locality	14499.0	16373	Pennsylvania	Somerset County
41712	Providence		Locality	20581.0	20847	Arkansas	White County
21079	Hermitage	781.0	Locality	20581.0	21072	Arkansas	Bradley County
41172	Bromley		Locality	19743.0	41172	Alabama	Bromley
446	Plaza		Locality	2.0	446	Washington	Plaza
24679	Versailles	2102.0	Locality	24391.0	24679	Indiana	Versailles
15499	Snyder	40540.0	SubAdminArea	14499.0	15499	Pennsylvania	Snyder
68082	Comstock		Locality	1860.0	68082	Wisconsin	Comstock
69882	Victor		Locality	2876.0	69882	West Virginia	Victor
9739	Bridge City	6957.0	Locality	9345.0	9739	Louisiana	Bridge City
4429	Paisley	1262.0	Locality	3590.0	4429	Florida	Paisley
5126	Merrimack	151132.0	SubAdminArea	5125.0	5126	New Hampshire	Merrimack
8546	Travis	1248743.0	SubAdminArea	6614.0	8546	Texas	Travis
44862	Kirkwood		Locality	1759.0	1786	Delaware	New Castle County
11606	Sterling		Locality	11160.0	11598	North Dakota	Burleigh County
43579	Loganville		Locality	16606.0	18185	California	Sierra County
6499	Miami		Locality	5995.0	6495	New Mexico	Colfax County
1796	Middletown	34132.0	Locality	1759.0	1786	Delaware	New Castle County
16646	Homeland	7471.0	Locality	16606.0	16646	California	Homeland
65652	Winnie		Locality	915.0	65652	Virginia	Winnie
69702	Mechanicstown		Locality	2876.0	69702	West Virginia	Mechanicstown
3956	Charlotte	184998.0	SubAdminArea	3590.0	3956	Florida	Charlotte
69792	Riverside		Locality	2876.0	2958	West Virginia	Jefferson County
12416	Plainview	1196.0	Locality	11706.0	12411	Nebraska	Pierce County
15589	Hanover	67679.0	Locality	14499.0	15566	Pennsylvania	York County
24769	Edgewood	1862.0	Locality	24391.0	24762	Indiana	Madison County
64842	Concord		Locality	6614.0	9063	Texas	Freestone County
5936	Plainfield	51327.0	Locality	5237.0	5934	New Jersey	Union County
8389	San Saba	3080.0	Locality	6614.0	8389	Texas	San Saba
41059	Ralph		Locality	19743.0	41059	Alabama	Ralph
40159	Tabor	409.0	Locality	39893.0	40159	South Dakota	Tabor
35119	Burr Oak	811.0	Locality	34363.0	35119	Michigan	Burr Oak
49452	Wallingford		Locality	38303.0	49452	Kentucky	Wallingford
3776	Alturas	4090.0	Locality	3590.0	3776	Florida	Alturas
56382	Ridgeway		Locality	10187.0	56382	North Carolina	Ridgeway
63582	Randolph		Locality	12445.0	63582	Tennessee	Randolph
63852	Liberty Hill		Locality	12445.0	63852	Tennessee	Liberty Hill
46302	Maple Hill		Locality	25316.0	46302	Iowa	Maple Hill
25129	Young America		Locality	24391.0	25129	Indiana	Young America
30259	Bridgeport	1766.0	Locality	29828.0	30247	Ohio	Belmont County
9649	Ridgecrest	642.0	Locality	9345.0	9638	Louisiana	Concordia Parish
8749	Buda	16163.0	Locality	6614.0	8749	Texas	Buda
26569	Gore	949.0	Locality	26557.0	26569	Oklahoma	Gore
48552	Silverwood		Locality	24391.0	48552	Indiana	Silverwood
5306	Elwood	1529.0	Locality	5237.0	5306	New Jersey	Elwood
2719	Grantsburg	1293.0	Locality	1860.0	2719	Wisconsin	Grantsburg
58452	Plainville		Locality	13115.0	58452	New York	Plainville
46099	Liberty Center		Locality	25316.0	46099	Iowa	Liberty Center
47989	Bennettsville		Locality	24391.0	47989	Indiana	Bennettsville
17389	Plymouth	993.0	Locality	16606.0	17384	California	Amador County
33499	Walker	932.0	Locality	33129.0	33483	Minnesota	Cass County
65742	Centerville		Locality	915.0	1215	Virginia	Accomack County
51859	Highland		Locality	28610.0	28738	Maine	Oxford County
